Wall time,Step,Value
1681958509.0932732,1287,-442.1405334472656
1681958511.196419,1289,-501.9880065917969
1681958513.294868,1291,-432.92877197265625
1681958514.34289,1292,-565.1245727539062
1681958515.399283,1293,-438.7680358886719
1681958516.451414,1294,-451.3824462890625
1681958518.522052,1296,-375.3582763671875
1681958521.683166,1299,-515.5916748046875
1681958522.733196,1300,-511.5931701660156
1681958524.830972,1302,-389.97723388671875
1681958525.875027,1303,-528.3079223632812
1681958526.925557,1304,-494.85675048828125
1681958529.0074592,1306,-479.3091125488281
1681958533.205791,1310,-517.3649291992188
1681958535.289758,1312,-505.3548889160156
1681958536.327302,1313,-423.85516357421875
1681958538.4327009,1315,-473.9000549316406
1681958539.484256,1316,-499.8375549316406
1681958542.64897,1319,-487.33123779296875
1681958543.694402,1320,-521.680419921875
1681958548.944227,1325,-437.1169128417969
1681958549.999614,1326,-466.2626647949219
1681958551.046135,1327,-423.1489562988281
1681958552.067383,1328,-562.4403686523438
1681958554.1544142,1330,-654.384765625
1681958556.2363908,1332,-437.7569885253906
1681958557.284352,1333,-461.5502014160156
1681958558.335211,1334,-490.5713195800781
1681958559.391003,1335,-415.71533203125
1681958560.428691,1336,-584.2946166992188
1681958561.469271,1337,-515.1465454101562
1681958564.617672,1340,-444.3302917480469
1681958567.816021,1343,-460.9167175292969
1681958570.094548,1345,-487.86590576171875
1681958572.232364,1347,-480.179443359375
1681958573.313767,1348,-477.5643310546875
1681958574.364901,1349,-416.89923095703125
1681958575.416084,1350,-542.1602172851562
1681958576.486102,1351,-497.5147399902344
1681958580.67035,1355,-560.8018798828125
1681958584.866344,1359,-408.09014892578125
1681958586.961333,1361,-386.102783203125
1681958588.00737,1362,-406.3502197265625
1681958591.142456,1365,-466.7687072753906
1681958592.197681,1366,-545.3984985351562
1681958593.242784,1367,-494.26776123046875
1681958596.378787,1370,-450.68505859375
1681958599.5334458,1373,-400.9802551269531
1681958600.593225,1374,-489.9974060058594
1681958601.6464489,1375,-500.3521728515625
1681958603.729107,1377,-331.0854797363281
1681958604.799731,1378,-479.66668701171875
1681958605.854666,1379,-446.4906921386719
1681958609.010684,1382,-407.66754150390625
1681958611.1186728,1384,-471.16656494140625
1681958612.172302,1385,-421.5671081542969
1681958613.228551,1386,-420.3860168457031
1681958614.2944052,1387,-516.6151733398438
1681958615.36357,1388,-462.01409912109375
1681958616.448769,1389,-440.85791015625
1681958618.5932841,1391,-365.4879455566406
1681958619.692353,1392,-468.9797668457031
1681958622.83719,1395,-521.4431762695312
1681958628.060311,1400,-403.40386962890625
1681958640.585072,1412,-523.0252075195312
1681958641.6311538,1413,-354.5694274902344
1681958642.68509,1414,-430.76837158203125
1681958643.741623,1415,-555.8176879882812
1681958647.940025,1419,-469.0730895996094
1681958651.060541,1422,-428.7517395019531
1681958652.099293,1423,-562.9786376953125
1681958654.2126899,1425,-469.44158935546875
1681958655.269941,1426,-502.3852844238281
1681958656.319084,1427,-513.041015625
1681958657.3651981,1428,-475.13739013671875
